pattern_id,route_short_name,direction_label,traffic_delay_seconds,traffic_jam_factor,matched_flow_segments,observation_count,first_observed_at,last_observed_at
26bfb21763afec0f,169,Moosach -> Moosach,357.26959173335496,7.85,1.0,2,2026-09-13 17:54:57.490027+00:00,2026-09-15 14:48:49.620076+00:00
2803dcb41af981f9,160,Waldfriedhof -> Pasing,140.2258390339171,1.6078947368421053,1.0,38,2026-09-12 20:17:42.314278+00:00,2026-09-18 04:17:21.334739+00:00
29ce08e0be0b82f0,59,Giesing -> Ackermannbogen,84.42800225451536,1.5597707068413962,17.07894736842105,38,2026-09-12 20:17:42.314278+00:00,2026-09-18 04:17:21.334739+00:00
2a0cfd772ffda289,50,Johanneskirchen -> Dessauerstraße,49.26056898494264,0.615578932558182,4.026315789473684,38,2026-09-12 20:17:42.314278+00:00,2026-09-18 04:17:21.334739+00:00
2ad331eae2311231,143,Olympia-Einkaufszentrum -> Hans-Steinkohl-Straße,66.2066043335047,1.4873654848370044,5.0,38,2026-09-12 20:17:42.314278+00:00,2026-09-18 04:17:21.334739+00:00
2bb491b005dcfa09,160,Blutenburg -> Waldfriedhof,75.71412580639218,0.8385778431777703,2.0,38,2026-09-12 20:17:42.314278+00:00,2026-09-18 04:17:21.334739+00:00
2cce8a5cc1f7fe0f,173,Feldmoching -> Petuelring,112.9325909984505,1.3260406685759971,12.052631578947368,38,2026-09-12 20:17:42.314278+00:00,2026-09-18 04:17:21.334739+00:00
300031603b7af56d,N74,Ostbahnhof -> Messestadt Ost,73.6038917326968,1.4188670597163309,11.131578947368421,38,2026-09-12 20:17:42.314278+00:00,2026-09-18 04:17:21.334739+00:00
33c468d9f3e25eed,181,Studentenstadt -> Wallnerstraße,23.445698936025266,1.0947436865886544,2.0,38,2026-09-12 20:17:42.314278+00:00,2026-09-18 04:17:21.334739+00:00
34513bbd9d2c5603,58,Silberhornstraße -> Hauptbahnhof Nord,13.177875938519113,0.6552631578947369,1.0,38,2026-09-12 20:17:42.314278+00:00,2026-09-18 04:17:21.334739+00:00
35640b2b15896b18,68,Hauptbahnhof Nord -> Silberhornstraße,173.3307256987993,2.408352093671493,13.81578947368421,38,2026-09-12 20:17:42.314278+00:00,2026-09-18 04:17:21.334739+00:00
38734e1c44d0b7ba,193,Trudering -> Von-Erckert-Straße,306.73958248227177,1.3626853745395586,3.026315789473684,38,2026-09-12 20:17:42.314278+00:00,2026-09-18 04:17:21.334739+00:00
3c3d9b119467fcba,63,Aidenbachstraße -> Forstenrieder Allee,544.1643169017602,7.2,1.0,3,2026-09-15 14:48:49.620076+00:00,2026-09-17 05:58:25.929323+00:00
3f460c10e9119e23,150,Bremer Straße -> Arabellapark,106.78461757483156,1.3099766855887642,1.0263157894736843,38,2026-09-12 20:17:42.314278+00:00,2026-09-18 04:17:21.334739+00:00
4015e0b098e55972,173,Feldmoching -> Petuelring,42.283262482472026,8.5,1.0,1,2026-09-15 09:57:36.710060+00:00,2026-09-15 09:57:36.710060+00:00
4120636e5b19d298,187,Rümelinstraße -> Michaelibad,66.7821738142385,1.6947368421052633,1.0,38,2026-09-12 20:17:42.314278+00:00,2026-09-18 04:17:21.334739+00:00
41b8a1460c5d0bcb,177,Studentenstadt -> Petuelring,171.95217424676665,2.175239404129114,6.0,38,2026-09-12 20:17:42.314278+00:00,2026-09-18 04:17:21.334739+00:00
4b3ae5b846bcabbf,132,Forstenrieder Park -> Isartor,54.47870701784475,1.4115705071732811,15.18421052631579,38,2026-09-12 20:17:42.314278+00:00,2026-09-18 04:17:21.334739+00:00
4b66ebabc6b72082,155,Max-Weber-Platz -> Emdenstraße,118.35044468766395,1.8002553884440295,8.026315789473685,38,2026-09-12 20:17:42.314278+00:00,2026-09-18 04:17:21.334739+00:00
4c61d0810f73ae26,63,Forstenrieder Allee -> Heimeranplatz,0.3004481870862325,0.09736842105263159,1.0,38,2026-09-12 20:17:42.314278+00:00,2026-09-18 04:17:21.334739+00:00
4cb24b999514c355,N40,Kieferngarten -> Klinikum Großhadern,69.0321110952553,1.3877690905512479,20.63157894736842,38,2026-09-12 20:17:42.314278+00:00,2026-09-18 04:17:21.334739+00:00
4d3d7b6579189f7b,164,Zaunerstraße -> Augustenfelder Straße,136.8638484986158,0.5263157894736842,1.0,38,2026-09-12 20:17:42.314278+00:00,2026-09-18 04:17:21.334739+00:00
4e13985e280a4a34,177,Studentenstadt -> Petuelring,15.14955146464982,0.8971157219541092,3.0,38,2026-09-12 20:17:42.314278+00:00,2026-09-18 04:17:21.334739+00:00
512df950c82af674,135,Solln Bf. Wendeschleife -> Thalkirchen (Tierpark),69.42847620430446,1.1367098627610606,3.0,38,2026-09-12 20:17:42.314278+00:00,2026-09-18 04:17:21.334739+00:00
