route_short_name,direction_label,traffic_delay_seconds,traffic_jam_factor,matched_flow_segments,observation_count,first_observed_at,last_observed_at
168,Wastl-Witt-Straße -> Nymphenburg Süd,124.30249955222398,0.9404659119904468,2.0813953488372094,86,2026-09-12 20:17:42.314278+00:00,2026-09-26 17:01:53.799097+00:00
169,Moosach -> Moosach,357.26959173335496,7.85,1.0,2,2026-09-13 17:54:57.490027+00:00,2026-09-15 14:48:49.620076+00:00
173,Feldmoching -> Petuelring,73.59846189351833,3.495150191559105,6.52906976744186,86,2026-09-12 20:17:42.314278+00:00,2026-09-26 17:01:53.799097+00:00
173,Petuelring -> Feldmoching,73.01872559887684,1.2595233575545217,6.127906976744186,86,2026-09-12 20:17:42.314278+00:00,2026-09-26 17:01:53.799097+00:00
175,Georg-Brauchle-Ring -> Ludwigsfeld (Campingplatz),2.013718669799796,0.05099403586382319,2.011627906976744,86,2026-09-12 20:17:42.314278+00:00,2026-09-26 17:01:53.799097+00:00
175,Ludwigsfeld (Campingplatz) -> Georg-Brauchle-Ring,55.19265573348624,1.3644173136677207,2.0,86,2026-09-12 20:17:42.314278+00:00,2026-09-26 17:01:53.799097+00:00
175,Ludwigsfeld (Campingplatz) -> Olympia-Einkaufszentrum,707.6861333802153,8.149999999999999,1.0,2,2026-09-17 05:58:25.929323+00:00,2026-09-23 05:45:41.925646+00:00
175,Olympia-Einkaufszentrum -> Ludwigsfeld (Campingplatz),754.8685405040052,8.133333333333333,1.3333333333333333,6,2026-09-15 14:48:49.620076+00:00,2026-09-24 13:28:05.777001+00:00
177,Petuelring -> Studentenstadt,133.60790926763693,1.790853133029871,4.011627906976744,86,2026-09-12 20:17:42.314278+00:00,2026-09-26 17:01:53.799097+00:00
177,Studentenstadt -> Petuelring,68.42150437973206,1.1971605714999065,3.3604651162790695,86,2026-09-12 20:17:42.314278+00:00,2026-09-26 17:01:53.799097+00:00
181,Fröttmaning Auensiedlung -> Studentenstadt,33.117916361325214,0.6719156197731236,8.162790697674419,86,2026-09-12 20:17:42.314278+00:00,2026-09-26 17:01:53.799097+00:00
181,Studentenstadt -> Wallnerstraße,27.617222115448104,1.3084209469407209,2.0,86,2026-09-12 20:17:42.314278+00:00,2026-09-26 17:01:53.799097+00:00
183,Arabellapark -> Messestadt West,536.412168209956,8.1,1.0,1,2026-09-16 09:48:18.028731+00:00,2026-09-16 09:48:18.028731+00:00
186,Hofbräuallee -> Messestadt Ost,11.363732551393843,0.6032974485447021,3.0,86,2026-09-12 20:17:42.314278+00:00,2026-09-26 17:01:53.799097+00:00
186,Messestadt Ost -> Hofbräuallee,13.410841707829592,0.7503593417746436,5.0,86,2026-09-12 20:17:42.314278+00:00,2026-09-26 17:01:53.799097+00:00
187,Michaelibad -> Arabellapark,103.05476908659848,1.2173608472916175,3.011627906976744,86,2026-09-12 20:17:42.314278+00:00,2026-09-26 17:01:53.799097+00:00
187,Rümelinstraße -> Berg am Laim,25.24648537629014,0.6372093023255815,1.0,86,2026-09-12 20:17:42.314278+00:00,2026-09-26 17:01:53.799097+00:00
187,Rümelinstraße -> Michaelibad,67.78190612580741,1.7116279069767442,1.0,86,2026-09-12 20:17:42.314278+00:00,2026-09-26 17:01:53.799097+00:00
188,Daglfing Bahnhof West -> St. Emmeram,487.3534245815241,8.1,2.0,1,2026-09-15 09:57:36.710060+00:00,2026-09-15 09:57:36.710060+00:00
189,St. Emmeram -> Daglfing Bahnhof West,299.75907448156687,8.4,1.0,1,2026-09-23 05:45:41.925646+00:00,2026-09-23 05:45:41.925646+00:00
190,Messestadt Ost -> Ostbahnhof Friedenstraße,41.597983793935875,0.9985875533444597,5.441860465116279,86,2026-09-12 20:17:42.314278+00:00,2026-09-26 17:01:53.799097+00:00
190,Messestadt Ost -> Riem,31.514291934462587,0.9225640786985128,10.0,86,2026-09-12 20:17:42.314278+00:00,2026-09-26 17:01:53.799097+00:00
190,Ostbahnhof Friedenstraße -> Messestadt Ost,24.273933892457276,0.840432615099918,24.13953488372093,86,2026-09-12 20:17:42.314278+00:00,2026-09-26 17:01:53.799097+00:00
