trip_id,stop_id,stop_sequence
1035124,294579,18
1035124,583705,19
1035124,160843,20
1035124,296865,21
1035124,634877,22
1035124,420541,23
1035124,602070,24
1035124,215926,25
1035124,236565,26
1035124,277163,27
1035124,412700,28
1035124,399768,29
1035124,210872,30
1035124,511257,31
1035124,678009,32
1035124,401447,33
1035124,63941,34
1037750,546683,0
1037750,499391,1
1037750,621041,2
1037750,247790,3
1037750,533739,4
1037750,582513,5
1037750,621945,6
1037750,212681,7
1037750,194070,8
1037750,215926,9
1037750,667084,10
1037750,112872,11
1037750,312521,12
1037750,139902,13
1037750,97530,14
1037750,335463,15
1037750,409875,16
1037750,524375,17
1037750,218138,18
1037750,637441,19
1037750,539010,20
1037750,275114,21
1037750,313272,22
1037750,286826,23
1037750,50068,24
1037750,264692,25
1037750,607303,26
1037750,592404,27
1037750,16975,28
1037750,417110,29
1037750,66008,30
1037750,193969,31
1037750,439967,32
1037750,26820,33
1037750,122366,34
1039476,122366,0
1039476,558336,1
1039476,321643,2
1039476,82633,3
1039476,208066,4
1039476,418217,5
1039476,652613,6
1039476,444060,7
1039476,174853,8
1039476,38349,9
1039476,529410,10
1039476,396307,11
1039476,29808,12
1039476,426778,13
1039476,535014,14
1039476,18649,15
1039476,361570,16
1039476,386320,17
1039476,294579,18
1039476,583705,19
1039476,160843,20
1039476,296865,21
1039476,634877,22
1039476,420541,23
1039476,602070,24
1039476,215926,25
1039476,236565,26
1039476,277163,27
1039476,412700,28
1039476,399768,29
1039476,210872,30
1039476,511257,31
1039476,678009,32
1039476,401447,33
1039476,63941,34
1041836,546683,0
1041836,499391,1
1041836,621041,2
1041836,247790,3
1041836,533739,4
1041836,582513,5
1041836,621945,6
1041836,212681,7
1041836,194070,8
1041836,215926,9
1041836,667084,10
1041836,112872,11
1041836,312521,12
1041836,139902,13
1041836,97530,14
1041836,335463,15
1041836,409875,16
1041836,524375,17
1041836,218138,18
1041836,637441,19
1041836,539010,20
1041836,275114,21
1041836,313272,22
1041836,286826,23
1041836,50068,24
1041836,264692,25
1041836,607303,26
1041836,592404,27
1041836,16975,28
1041836,417110,29
1041836,66008,30
1041836,193969,31
1041836,439967,32
1041836,26820,33
1041836,122366,34
1042868,546683,0
1042868,499391,1
1042868,621041,2
1042868,247790,3
1042868,533739,4
1042868,582513,5
1042868,621945,6
1042868,212681,7
1042868,194070,8
1042868,215926,9
1042868,667084,10
1042868,112872,11
1042868,312521,12
1042868,139902,13
1042868,97530,14
1042868,335463,15
1042868,409875,16
1042868,524375,17
1042868,218138,18
1042868,637441,19
1042868,539010,20
1042868,275114,21
1042868,313272,22
1042868,286826,23
1042868,50068,24
1042868,264692,25
1042868,607303,26
1042868,592404,27
1042868,16975,28
1042868,417110,29
1042868,66008,30
1042868,193969,31
1042868,439967,32
1042868,26820,33
1042868,122366,34
1043340,122366,0
1043340,558336,1
1043340,321643,2
1043340,82633,3
1043340,208066,4
1043340,418217,5
1043340,652613,6
1043340,444060,7
1043340,174853,8
1043340,38349,9
1043340,529410,10
1043340,396307,11
1043340,29808,12
1043340,426778,13
1043340,535014,14
1043340,18649,15
1043340,361570,16
1043340,386320,17
1043340,294579,18
1043340,583705,19
1043340,160843,20
1043340,296865,21
1043340,634877,22
1043340,420541,23
1043340,602070,24
1043340,215926,25
1043340,236565,26
1043340,277163,27
1043340,412700,28
1043340,399768,29
1043340,210872,30
1043340,511257,31
1043340,678009,32
1043340,401447,33
1043340,63941,34
1045206,122366,0
1045206,558336,1
1045206,321643,2
1045206,82633,3
1045206,208066,4
1045206,418217,5
1045206,652613,6
1045206,444060,7
1045206,174853,8
1045206,38349,9
1045206,529410,10
1045206,396307,11
1045206,29808,12
1045206,426778,13
1045206,535014,14
1045206,18649,15
1045206,361570,16
1045206,386320,17
1045206,294579,18
1045206,583705,19
1045206,160843,20
1045206,296865,21
1045206,634877,22
1045206,420541,23
1045206,602070,24
1045206,215926,25
1045206,236565,26
1045206,277163,27
1045206,412700,28
1045206,399768,29
1045206,210872,30
1045206,511257,31
1045206,678009,32
1045206,401447,33
1045206,63941,34
1047075,122366,0
1047075,558336,1
1047075,321643,2
1047075,82633,3
1047075,208066,4
1047075,418217,5
1047075,652613,6
1047075,444060,7
1047075,174853,8
1047075,38349,9
1047075,529410,10
1047075,396307,11
1047075,29808,12
1047075,426778,13
1047075,535014,14
1047075,18649,15
1047075,361570,16
1047075,386320,17
1047075,294579,18
1047075,583705,19
1047075,160843,20
1047075,296865,21
1047075,634877,22
1047075,420541,23
1047075,602070,24
1047075,215926,25
1047075,236565,26
1047075,277163,27
1047075,412700,28
1047075,399768,29
1047075,210872,30
1047075,511257,31
1047075,678009,32
1047075,401447,33
1047075,63941,34
1048805,546683,0
1048805,499391,1
1048805,621041,2
1048805,247790,3
1048805,533739,4
1048805,582513,5
1048805,621945,6
1048805,212681,7
1048805,194070,8
1048805,215926,9
1048805,667084,10
1048805,112872,11
1048805,312521,12
